transaction_id,transaction_date_time,account_number,card_number,transaction_amount,transaction_type_code,transaction_type_desc,pos_entry_code,pos_entry_desc,authorisation_posting_code,authorisation_posting_desc,decision_code,decision_code_desc,avs_response_code_external,secure_indicator,fraud_monitor_flag,score,merchant_id,merchant_name,merchant_category_code,merchant_category_desc,merchant_city_name,merchant_country_code,merchant_postal_code,acquirer_id,terminal_id,ip_address,device_id,prior_credit_limit,account_open_date,most_recent_email_change,most_recent_phone_change,most_recent_add_change,fraud,fraud_type
1175PACG6577KLHW,2025-04-01 00:03:58,631930086,453900******8759,49.27,81,Electronic Commerce,90,Mag Stripe,PS,Settlement / Posting,A,Approved,NA,Secure,N,601,GCX1945NQ4FMYZY,Delta Airlines,4829,Money Transfer,DUBAI,NZ,NG4 2YR,954201,Y41IBLJH,10.161.29.117,HR5XFF0T0PVN9ER1,2000,2023-06-06,2024-10-04,2023-06-13,2025-03-22,0,
5980SRNG6144YWGN,2025-04-04 16:34:41,516851319,453900******9954,29.65,10,Card On File,91,Contactless Mag Stripe,AU,Authorisation Request,D,Declined,NA,Unsecure,N,255,C58DRC11ERTJ5PH,B&Q,4511,Airlines,NEW YORK,PH,KR3 8LG,824500,MVIHCWI6,10.169.45.236,CIYHE7UR23GDPPQ0,2000,2023-03-04,2024-02-17,2025-01-15,2023-12-14,0,
5114WBVW0650CTGK,2025-06-02 11:17:34,240392744,453900******9957,55.6,10,Card On File,05,Chip & PIN,AU,Authorisation Request,A,Approved,N,Secure,Y,603,0CLBR7TCS4CC5O7,Decathlon,4829,Money Transfer,NEW YORK,CL,PQ4 5NY,954201,YLJEXQ77,10.4.196.254,Q99CHJ755NF4ZW9X,1000,2024-11-14,2025-04-16,2024-07-21,2023-11-03,0,
8712FIRW5290QVBI,2025-03-26 09:39:49,627540089,453900******5851,111.99,10,Card On File,05,Chip & PIN,AU,Authorisation Request,A,Approved,N,Secure,Y,930,MYYMU5907IF2GOG,Bkash BD,5812,Restaurants,DUBLIN,GH,UW8 2UC,442211,BQH7M35I,10.98.225.232,OKC1MSY4LA5JU9BV,10000,2025-01-16,2025-03-16,2023-11-18,2024-03-22,0,
2709NSTR3063IWSH,2025-04-30 01:22:15,636516371,453900******5483,27.46,10,Card On File,91,Contactless Mag Stripe,AU,Authorisation Request,D,Declined,NA,Secure,N,486,PYS280XKXWD8IL3,BestBuy,1520,Contractors & Construction,LONDON,CA,GM8 0KQ,954201,ZNOFY645,10.217.172.195,H2ZQU7EEQTUL1P36,15000,2025-04-30,2024-07-15,2024-04-01,2023-06-12,0,
7827MGLS2380DJDF,2025-05-20 13:25:28,454249568,453900******7303,27.46,OT,Other,91,Contactless Mag Stripe,PS,Settlement / Posting,D,Declined,Z,,Y,509,HPBMYOFQEWAOUAX,Target,5812,Restaurants,TORONTO,IN,BJ2 3TJ,442211,8P4Q0B8I,10.35.33.242,2X18HAFEYUHZ1GV0,2000,2025-03-07,2025-04-18,2023-06-17,2023-11-15,0,
3706QCUW6197JLJN,2025-05-06 06:15:09,044438411,453900******5669,406.18,81,Electronic Commerce,90,Mag Stripe,PS,Settlement / Posting,D,Declined,A,Unsecure,N,680,43D5IQVNB4GH2M5,Paysafe,1520,Contractors & Construction,SINGAPORE,QA,AY0 7MT,776655,RZQAKOIX,10.188.240.63,RTP0LZJJEGET1GHR,7500,2023-04-13,2025-05-02,2023-07-18,2023-10-31,1,APP
1002YQTC0243ZGWC,2025-03-13 16:31:20,406015391,453900******7672,61.19,01,Manual Entry,07,Contactless,PS,Settlement / Posting,D,Declined,NA,,N,890,VPUC8D1WJCITFOY,Malaysia Airlines,5691,Clothing Stores,SINGAPORE,CA,GS7 4RY,442211,2V2HEIFJ,10.72.211.49,CFL0UKEYZ7SRCBPL,7500,2023-01-27,2023-04-04,2023-08-23,2024-11-21,0,
7154HZLV9443CEKM,2025-05-17 18:14:33,854339459,453900******6541,22.75,81,Electronic Commerce,90,Mag Stripe,PS,Settlement / Posting,R,Reversal / Refund,NA,Secure,N,788,BJEK5RBW2ZLAOI4,Aldi,1520,Contractors & Construction,TORONTO,ES,QE9 2SK,601912,9ITN7S55,10.141.112.76,14M2JA04UX5QRL1N,10000,2025-06-09,2023-07-13,2024-12-15,2023-09-02,0,
3493ZUQD9193CVCX,2025-03-03 23:31:29,746149366,453900******8883,51.11,07,Contactless,91,Contactless Mag Stripe,PS,Settlement / Posting,R,Reversal / Refund,NA,,N,903,TWIYKID91ZDFKBL,Ryanair,5411,Grocery Stores,SINGAPORE,AR,JD5 5UE,824500,VNYRUIWQ,10.4.207.189,6QKTC89K8YQK94DN,10000,2024-08-11,2023-10-30,2024-12-17,2023-10-30,0,
